Timestamp,Velocidade linear,Velocidade angular
1710333308.0206175,0.060531232595443726,0.5540616255875856
1710333308.2227318,0.06041586291790009,0.5530056102324951
1710333308.4228892,0.049118104219436645,0.4495936312991913
1710333308.6232128,0.05127704393863678,0.4693550932598332
1710333308.823447,0.05203504478931427,0.4762933161493297
1710333309.023768,0.05300515007972718,0.4851729984414387
1710333309.2240872,0.049302730321884154,0.4512835727403584
1710333309.4251437,0.05113899922370911,0.4680915260751406
1710333309.6254594,0.052197113871574406,0.47777678600983436
1710333309.8260336,0.05546155607700348,0.5076572638627321
1710333310.0263412,0.05333720326423645,0.48821238685799956
1710333310.2266498,0.05169792866706848,0.4732075850532584
1710333310.4290605,0.06152252984046936,0.5631352845809553
1710333310.6293936,0.05303138530254364,0.48541313778071987
1710333310.8297205,0.056238447546958927,0.5147683985991663
1710333311.0313108,0.06760688281059266,0.6188273026141204
1710333311.2316318,0.05631539082527161,0.5154726848995113
1710333311.4320343,0.05038618719577789,0.4612007981306901
1710333311.6323736,0.04943025970458985,0.4524508897445295
1710333311.833303,0.04948258459568024,0.45292983611606624
1710333312.0335312,0.05056117916107178,0.46280255525008496
1710333312.2338305,0.06205837512016297,0.5680400468664802
1710333312.4350154,0.052167987227439885,0.4775101805715321
1710333312.637184,0.08849041914939881,0.8099809533125749
1710333312.8374996,0.07546051812171936,0.6907141246839301
