Timestamp,Velocidade linear,Velocidade angular,Direction
1710333227.3316247,0.0205063818991184,-0.3747594850287012,1
1710333227.5343723,0.033731223732233,0.5157658914679522,1
1710333227.7346754,0.1438795402050018,-0.0050102665986294,1
1710333227.9349723,0.0827060767114162,-0.5579370276606056,1
1710333228.1355062,0.0211774935722351,1.1821318261956186,1
1710333228.3358057,0.0925039224028587,-0.4405837249974093,1
1710333228.539857,0.1350063425302505,-0.0820948504746915,1
1710333228.7415397,0.1532769112586975,-0.0119795286409915,1
1710333228.942661,0.131131279349327,-0.2131716086608048,1
1710333229.1438148,0.1557040450572967,-0.0279770792212584,1
1710333229.3441052,0.1570829186439514,-0.0063991066520218,1
1710333229.5447817,0.0305211943387985,1.2105644463947218,1
1710333229.7459855,0.1509766852855682,0.0299687701995641,1
1710333229.946271,0.0899823178052902,-0.2034941625267744,1
1710333230.146617,0.0859967905282974,-0.399472277006241,1
1710333230.347046,0.0293809544742107,-0.4622769871347283,1
1710333230.5472918,0.1531224110126495,0.0046739490954227,1
1710333230.7505236,0.148625987291336,0.0068796733969681,1
1710333230.950852,0.0649727478325367,-0.7275552856021943,1
1710333231.152175,0.1249954944849014,-0.1966604357180388,1
1710333231.3548822,0.0997953060865402,-0.116934463143076,1
1710333231.5571811,0.137926194190979,0.0071377088603493,1
1710333231.758382,0.0837654433250427,-0.390099353048294,1
1710333231.9592478,0.1034337644577026,-0.0044645248343251,1
1710333232.1611607,0.1114533948898315,-0.3032415769738519,1
