Timestamp,Velocidade linear,Velocidade angular
1710333308.0206175,0.0605312325954437,0.5540616255875856
1710333308.2227318,0.0604158629179,0.5530056102324951
1710333308.4228892,0.0491181042194366,0.4495936312991913
1710333308.6232128,0.0512770439386367,0.4693550932598332
1710333308.823447,0.0520350447893142,0.4762933161493297
1710333309.023768,0.0530051500797271,0.4851729984414387
1710333309.2240872,0.0493027303218841,0.4512835727403584
1710333309.4251437,0.0511389992237091,0.4680915260751406
1710333309.6254594,0.0521971138715744,0.4777767860098343
1710333309.8260336,0.0554615560770034,0.5076572638627321
1710333310.0263412,0.0533372032642364,0.4882123868579995
1710333310.2266498,0.0516979286670684,0.4732075850532584
1710333310.4290605,0.0615225298404693,0.5631352845809553
1710333310.6293936,0.0530313853025436,0.4854131377807198
1710333310.8297205,0.0562384475469589,0.5147683985991663
1710333311.0313108,0.0676068828105926,0.6188273026141204
1710333311.2316318,0.0563153908252716,0.5154726848995113
1710333311.4320345,0.0503861871957778,0.4612007981306901
1710333311.6323736,0.0494302597045898,0.4524508897445295
1710333311.833303,0.0494825845956802,0.4529298361160662
1710333312.0335312,0.0505611791610717,0.4628025552500849
1710333312.2338305,0.0620583751201629,0.5680400468664802
1710333312.4350154,0.0521679872274398,0.4775101805715321
1710333312.637184,0.0884904191493988,0.8099809533125749
1710333312.8374996,0.0754605181217193,0.6907141246839301
