Timestamp,Velocidade linear,Velocidade angular,Velocidade Roda Esquerda,Velocidade Roda Direita
1711141045.1182725,0.0241653054356575,0.3829851035940839,0.5356308221817017,-2.000194787979126
1711141045.321906,-0.02113915568590164,0.6071079519302404,2.6504757404327393,-1.3693147897720337
1711141045.5223174,-0.02920800518989563,1.181923194117077,4.797973155975342,-3.0277910232543945
1711141045.7226791,-0.07594167767465114,0.5444257015221724,4.103641986846924,0.4988839328289032
1711141045.9284499,-0.08054424852132798,0.371615231446325,3.671006441116333,1.2104631662368774
1711141046.1288435,-0.09204568916559219,0.654943823541602,4.957524299621582,0.6210023164749146
1711141046.3317955,-0.0028853886723518365,0.3879424379946711,1.371760606765747,-1.1968885660171509
1711141046.532189,-0.05751338437199593,0.34203885267200945,2.87518572807312,0.6104739308357239
1711141046.7325428,-0.055604152321815495,0.6886851651172071,3.964939594268799,-0.5949909687042236
1711141046.935205,-0.0954910291135311,0.6822308307381462,5.1522650718688965,0.6350700259208679
1711141047.1389196,-0.10262239229679107,0.1797034080295868,3.7046966552734375,2.5148422718048096
1711141047.3393383,-0.07139210933446885,0.4620958023813278,3.6932144165039062,0.6335800886154175
1711141047.5401294,-0.0631482383608818,0.23070799185973284,2.677366256713867,1.1497997045516968
1711141047.74839,-0.022621626734733585,-0.35756589182454335,-0.49825596809387207,1.8692636489868164
1711141047.9511044,0.0004087142050266269,-0.19234009711093158,-0.6491475701332092,0.6243770122528076
1711141048.1610038,-0.0264011195898056,-1.073137336792062,-2.7527010440826416,4.352768898010254
1711141048.367146,0.05813004291057587,-0.8019898117816149,-4.41658878326416,0.8935558795928955
1711141048.5721295,0.02181818532943726,0.3543206079600878,0.5118588209152222,-1.8341730833053589
1711141048.7724288,0.0630330545604229,-0.7933441204119056,-4.5365424156188965,0.7163572907447815
1711141048.9812386,-0.0019265923798084256,-0.1841979727865084,-0.5514253377914429,0.6681885123252869
1711141049.1815627,0.000412749409675596,0.8620586384352067,2.8414289951324463,-2.8664441108703613
1711141049.3819244,-0.09687514758110047,-0.048751706662385375,2.7742128372192383,3.097008228302002
1711141049.5834086,-0.10002483773231508,-0.0036901303777978622,3.018839120864868,3.0432722568511963
1711141049.7837932,-0.10036938107013703,-0.016938339381796286,2.9854202270507812,3.0975725650787354
1711141049.9862642,-0.05312008506059647,0.09527466171666193,1.9251164197921753,1.2942826747894287
