Timestamp,Velocidade linear,Velocidade angular,Velocidade Roda Esquerda,Velocidade Roda Direita
1711136741.35822,0.0891599385738372,0.1005191082812555,2.36903715133667,3.034595489501953
1711136741.5585785,0.1090451163053512,-0.2125424716783606,4.008041858673096,2.60075306892395
1711136741.7610302,0.116476851940155,-0.2493603442299011,4.355135440826416,2.7040677070617676
1711136741.9613943,0.1147599613666534,-0.2912402273042797,4.441756248474121,2.513392925262451
1711136742.1617367,0.0887738787531852,-0.4053626404201411,4.032113552093506,1.3481215238571167
1711136742.3621204,0.0798243898451328,-0.546358829504838,4.2276997566223145,0.6101420521736145
1711136742.5625064,0.1202702000141144,-0.1867964305921332,4.262960910797119,3.026142120361328
1711136742.7635026,0.1136616421937942,-0.241357391977201,4.243331432342529,2.6452529430389404
1711136742.963877,0.1084517022371292,-0.2703329813016634,4.1813812255859375,2.391449213027954
1711136743.1642392,0.0609734725356102,-0.7186137320520676,4.2267279624938965,-0.5313659906387329
1711136743.3666816,0.0624767687022686,-0.7623631569559024,4.41711950302124,-0.630648672580719
1711136743.5670562,0.0614738949537277,-0.7518080715729388,4.351785659790039,-0.6260950565338135
1711136743.7673273,0.0609257699847221,-0.7415634767414503,4.301259994506836,-0.6087890863418579
1711136743.968851,0.1226538759469986,-0.1947773457664646,4.361615180969238,3.071953058242798
1711136744.3722944,0.1192336510419845,-0.3658637880460622,4.824371814727783,2.4019100666046143
1711136744.5726488,0.0677789735198021,-0.8282265919569701,4.795840263366699,-0.6880236864089966
1711136744.97452,0.0893040080666542,-0.6133323463204251,4.7366838455200195,0.6756802797317505
1711136745.1767795,0.0645379891991615,-0.7590667143020804,4.468667507171631,-0.5572742223739624
1711136745.377718,0.1201887720823288,-0.2547058840910957,4.485314846038818,2.7988531589508057
1711136745.578036,0.1228343085050583,-0.3028929086244352,4.725010871887207,2.719492673873902
1711136745.7788074,0.1155565971136093,-0.3551677391785505,4.677535533905029,2.325894594192505
1711136745.9799068,0.1163351290225982,-0.3526306305106225,4.692728042602539,2.3578858375549316
1711136746.1803305,0.0916592310369014,-0.6545895649039227,4.944640636444092,0.6104642748832703
